,popularity,vote_count,id_x,adult,original_language,title,vote_average,overview,MPAA,year,month,studio,production_budget,domestic_gross,worldwide_gross,tconst,primary_title,original_title,start_year,runtime_minutes,genres,avg_rating_imdb,num_votes_imdb,actors,directors,producers,editors,writers,primary_genre,secondary_genre,new_genre,worldwide_gross_z,domestic_gross_z
1054,35.771,9595,137113,False,en,edge of tomorrow,7.6,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.",PG-13,2014,05,WB,178.0,100.21,370.54,tt1631867,edge of tomorrow,Edge of Tomorrow,2014,113.0,"Action,Sci-Fi",7.9,546284,"Tom Cruise,Emily Blunt,Bill Paxton,Brendan Gleeson",Doug Liman,Jason Hoffs,,"Jez Butterworth,Christopher McQuarrie,John-Henry Butterworth,Hiroshi Sakurazaka",Action,Sci-Fi,Action,0.9224565251656464,0.42591727189175577
1055,12.337,911,137116,False,en,smurfs: the lost village,6.2,"In this fully animated, all-new take on the Smurfs, a mysterious map sets Smurfette and her friends Brainy, Clumsy and Hefty on an exciting race through the Forbidden Forest leading to the discovery of the biggest secret in Smurf history.",PG,2017,03,Sony,60.0,45.02,197.58,tt2398241,smurfs: the lost village,Smurfs: The Lost Village,2017,90.0,"Adventure,Animation,Comedy",6.0,15612,"Rainn Wilson,Jack McBrayer,Joe Manganiello,Demi Lovato",Kelly Asbury,"Jordan Kerner,Mary Ellen Bauder",,"Peyo,Pamela Ribon,Stacey Harman",Adventure,Animation,Animation_Adventure,0.1569807937650348,-0.2557041488940224
1061,14.477,3431,138103,False,en,the expendables 3,6.2,"Barney, Christmas and the rest of the team comes face-to-face with Conrad Stonebanks, who years ago co-founded The Expendables with Barney. Stonebanks subsequently became a ruthless arms trader and someone who Barney was forced to kill… or so he thought. Stonebanks, who eluded death once before, now is making it his mission to end The Expendables -- but Barney has other plans. Barney decides that he has to fight old blood with new blood, and brings in a new era of Expendables team members, recruiting individuals who are younger, faster and more tech-savvy. The latest mission becomes a clash of classic old-school style versus high-tech expertise in the Expendables’ most personal battle yet.",PG-13,2014,08,LGF,100.0,39.32,209.46,tt2333784,the expendables 3,The Expendables 3,2014,126.0,"Action,Adventure,Thriller",6.1,156432,"Jason Statham,Antonio Banderas,Sylvester Stallone,Jet Li",Patrick Hughes,"Avi Lerner,Danny Lerner",,"Dave Callaham,Creighton Rothenberger,Katrin Benedikt",Action,Adventure,Action,0.2095585671752988,-0.3261017227023017
1062,16.477,3165,138697,False,en,don jon,5.9,"A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.",R,2013,07,Rela.,5.5,24.48,41.27,tt2229499,don jon,Don Jon,2013,90.0,"Comedy,Drama,Romance",6.6,216350,"Julianne Moore,Joseph Gordon-Levitt,Scarlett Johansson,Tony Danza",,Ram Bergman,Lauren Zuckerman,,Comedy,Drama,Comedy,-0.5348063915681612,-0.5093824236347342
1063,25.019,6263,138832,False,en,we're the millers,6.8,A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,R,2013,08,WB (NL),37.0,150.39,267.82,tt1723121,we're the millers,We're the Millers,2013,110.0,"Comedy,Crime",7.0,371759,"Jennifer Aniston,Jason Sudeikis,Ed Helms,Emma Roberts",Rawson Marshall Thurber,Chris Bender,,"Sean Anders,John Morris,Bob Fisher,Steve Faber",Comedy,Crime,Comedy,0.46784466618396947,1.04566293043552
1064,19.126,7258,138843,False,en,the conjuring,7.5,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",R,2013,03,WB (NL),20.0,137.4,318.0,tt1457767,the conjuring,The Conjuring,2013,112.0,"Horror,Mystery,Thriller",7.5,397233,"Lili Taylor,Vera Farmiga,Ron Livingston,Patrick Wilson",James Wan,"Peter Safran,Rob Cowan,Tony DeRosa-Grund",,"Chad Hayes,Carey W. Hayes",Horror,Mystery,Horror,0.6899282242418019,0.8852305648619152
1065,17.465,1042,139038,False,en,a haunted house,5.5,"A spoof of all the ""found-footage/documentary style"" films released in recent years.",R,2013,01,ORF,2.5,40.04,59.92,tt2243537,a haunted house,A Haunted House,2013,86.0,"Comedy,Fantasy",5.1,40308,"Essence Atkins,Marlon Wayans,Marlene Forte,David Koechner",Michael Tiddes,,Suzanne Hines,Rick Alvarez,Comedy,Fantasy,Comedy,-0.4522663684956509,-0.317209397589677
1072,22.654,3590,140300,False,en,kung fu panda 3,6.8,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.",,2016,01,Fox,140.0,143.53,517.6,tt2267968,kung fu panda 3,Kung Fu Panda 3,2016,95.0,"Action,Adventure,Animation",7.1,116166,"Jack Black,Bryan Cranston,Dustin Hoffman,Angelina Jolie","Alessandro Carloni,Jennifer Yuh Nelson",,,"Cyrus Voris,Jonathan Aibel,Glenn Berger,Ethan Reiff",Action,Adventure,Action,1.5733056293502783,0.9609388328346787
1076,13.397,2429,140823,False,en,saving mr. banks,7.4,Author P.L. Travers travels from London to Hollywood as Walt Disney Pictures adapts her novel Mary Poppins for the big screen.,PG-13,2013,11,BV,35.0,83.3,114.96,tt2140373,saving mr. banks,Saving Mr. Banks,2013,125.0,"Biography,Comedy,Drama",7.5,140678,"Tom Hanks,Colin Farrell,Emma Thompson,Annie Rose Buckley",John Lee Hancock,"Alison Owen,Philip Steuer,Ian Collie",,"Kelly Marcel,Sue Smith",Biography,Comedy,Biography,-0.2086737213154378,0.21707113626052715
1077,43.252,9249,141052,False,en,justice league,6.2,"Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.",PG-13,2017,11,WB,300.0,229.02,655.95,tt0974015,justice league,Justice League,2017,120.0,"Action,Adventure,Fantasy",6.5,329135,"Ben Affleck,Gal Gadot,Jason Momoa,Ezra Miller",Zack Snyder,,,"Joss Whedon,Gardner Fox,Jerry Siegel,Joe Shuster,Chris Terrio",Action,Adventure,Action,2.1856065511777216,2.0167789354434156
