,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
196,Hidden Figures,2016,7.8,74.0,191129,169.61,127
197,The Sixth Sense,1999,8.1,64.0,888838,293.51,107
198,300,2006,7.6,52.0,719378,210.61,117
199,Black Swan,2010,8.0,79.0,682473,106.95,108
200,Snatch,2000,8.3,55.0,761593,30.33,102
201,Superbad,2007,7.6,76.0,508349,121.46,113
202,True Grit,2010,7.6,80.0,302432,171.24,110
203,A Hard Day's Night,1964,7.6,96.0,39077,13.78,87
204,Donnie Darko,2001,8.0,88.0,724848,1.48,113
205,Blazing Saddles,1974,7.7,73.0,122466,119.5,93
206,Mulholland Drive,2001,8.0,85.0,309813,7.22,147
207,Die Hard,1988,8.2,72.0,763234,83.01,132
208,The Sound of Music,1965,8.0,63.0,197211,163.21,172
209,Oldboy,2003,8.4,77.0,496622,0.71,120
210,Inside Out,2015,8.1,94.0,586816,356.46,95
211,The Invisible Guest,2016,8.1,,122645,,106
212,The Godfather: Part III,1990,7.6,60.0,347634,66.67,162
213,Pan's Labyrinth,2006,8.2,98.0,603211,37.63,118
214,The Wizard of Oz,1939,8.0,100.0,364905,2.08,102
215,Spotlight,2015,8.1,93.0,401866,45.06,129
216,Magnolia,1999,8.0,77.0,282930,22.46,188
217,Unforgiven,1992,8.2,85.0,364065,101.16,130
218,Stardust,2007,7.6,66.0,248380,38.63,127
219,Skyfall,2012,7.7,81.0,617613,304.36,143
220,Once Upon a Time in America,1984,8.4,,299334,5.32,229
221,The Pianist,2002,8.5,85.0,701504,32.57,150
222,The Florida Project,2017,7.6,92.0,87717,5.9,111
223,Mulan,1998,7.6,71.0,242098,120.62,88
224,The Imitation Game,2014,8.0,73.0,662211,91.13,114
225,12 Monkeys,1995,8.0,74.0,565356,57.14,129
226,Children of Men,2006,7.9,84.0,452507,35.55,109
227,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,82.0,1124729,290.48,124
228,The Intouchables,2011,8.5,57.0,731065,13.18,112
229,Sherlock Holmes,2009,7.6,57.0,571363,209.03,128
230,Rush,2013,8.1,74.0,419336,26.95,123
231,Love Actually,2003,7.6,55.0,413826,59.7,135
232,The Blind Side,2009,7.6,53.0,283715,255.96,129
233,Life Is Beautiful,1997,8.6,59.0,600431,57.6,116
234,Brokeback Mountain,2005,7.7,87.0,315110,83.04,134
235,Fargo,1996,8.1,85.0,596542,24.61,98
236,The Handmaiden,2016,8.1,84.0,101780,2.01,145
237,Zombieland,2009,7.6,73.0,507307,75.59,88
238,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87.0,561737,42.34,119
239,Sin City,2005,8.0,74.0,731391,74.1,124
240,The Incredibles,2004,8.0,90.0,638902,261.44,115
241,Silver Linings Playbook,2012,7.7,81.0,647947,132.09,122
242,The Searchers,1956,7.9,94.0,77767,,119
243,Tangled,2010,7.7,71.0,393245,200.82,100
244,Indiana Jones and the Last Crusade,1989,8.2,65.0,672140,197.17,127
245,Lost in Translation,2003,7.7,89.0,398840,44.59,102
246,The Blues Brothers,1980,7.9,60.0,177193,57.23,133
247,Home Alone,1990,7.6,63.0,448738,285.76,103
248,Wind River,2017,7.7,73.0,192995,33.8,107
249,Moneyball,2011,7.6,87.0,350480,75.61,133
250,Atonement,2007,7.8,85.0,241575,50.93,123
251,Predator,1987,7.8,45.0,362433,59.74,107
252,The Thing,1982,8.1,57.0,356740,13.78,109
253,Malcolm X,1992,7.7,72.0,82513,48.17,202
254,The Hobbit: The Desolation of Smaug,2013,7.8,66.0,588255,258.37,161
255,Training Day,2001,7.7,69.0,378356,76.63,122
256,Incredibles 2,2018,7.6,80.0,236198,608.58,118
257,Captain Fantastic,2016,7.9,72.0,179799,5.88,118
258,Dances with Wolves,1990,8.0,72.0,233520,184.21,181
259,The Deer Hunter,1978,8.1,86.0,302050,48.98,183
260,The Bourne Identity,2002,7.9,68.0,496150,121.66,119
261,Star Wars: Episode VI - Return of the Jedi,1983,8.3,58.0,922189,309.13,131
262,Primal Fear,1996,7.7,47.0,178871,56.12,129
263,Once Upon a Time in the West,1968,8.5,80.0,292075,5.32,165
264,Mary Poppins,1964,7.8,88.0,153231,102.27,139
265,The Sandlot,1993,7.8,55.0,76379,32.42,101
266,A Beautiful Mind,2001,8.2,72.0,821625,170.74,135
267,Indiana Jones and the Temple of Doom,1984,7.6,57.0,434395,179.87,118
268,Toy Story,1995,8.3,95.0,858119,191.8,81
269,Bridge of Spies,2015,7.6,81.0,278953,72.31,142
270,The Exorcist,1973,8.0,81.0,352049,232.91,122
271,Casablanca,1942,8.5,100.0,506174,1.02,102
272,What's Eating Gilbert Grape,1993,7.8,73.0,208737,9.17,118
273,Black Hawk Down,2001,7.7,74.0,356158,108.64,144
274,X-Men: Days of Future Past,2014,8.0,75.0,647223,233.92,132
275,A Few Good Men,1992,7.7,62.0,227454,141.34,138
276,Argo,2012,7.7,86.0,560309,136.03,120
277,Nightcrawler,2014,7.9,76.0,443605,32.38,117
278,Straight Outta Compton,2015,7.9,72.0,174950,161.2,147
279,Crash,2004,7.8,66.0,413626,54.58,112
280,City of God,2002,8.6,79.0,681919,7.56,130
281,Wonder,2017,8.0,66.0,131294,132.42,113
282,Million Dollar Baby,2004,8.1,86.0,618835,100.49,132
283,Warrior,2011,8.2,71.0,424758,13.66,140
284,My Neighbor Totoro,1988,8.2,86.0,273724,1.11,86
285,Shrek,2001,7.8,84.0,596445,267.67,90
286,Cape Fear,1962,7.7,76.0,25466,,106
287,Capernaum,2018,8.4,75.0,50232,1.66,126
288,Finding Nemo,2003,8.1,90.0,921984,380.84,100
289,Hell or High Water,2016,7.6,88.0,195794,26.86,102
290,The Fugitive,1993,7.8,87.0,259996,183.88,130
291,Up,2009,8.2,88.0,904953,293.0,96
292,Rocky,1976,8.1,70.0,502689,117.24,120
293,The Fighter,2010,7.8,79.0,332095,93.62,116
294,Lion,2016,8.0,69.0,204234,51.74,118
295,Close Encounters of the Third Kind,1977,7.6,90.0,178784,132.09,138
296,Trainspotting,1996,8.1,83.0,620023,16.5,93
297,The Hunt,2012,8.3,77.0,266447,0.69,115
298,Scent of a Woman,1992,8.0,59.0,249779,63.9,156
299,Dallas Buyers Club,2013,8.0,80.0,426992,27.3,117
300,Misery,1990,7.8,75.0,177587,61.28,107
301,28 Days Later...,2002,7.6,73.0,367363,45.06,113
302,Taken,2008,7.8,51.0,555794,145.0,90
303,Mystic River,2003,7.9,84.0,408958,90.14,138
304,Dead Poets Society,1989,8.1,79.0,406848,95.86,128
305,The Last of the Mohicans,1992,7.7,76.0,144520,75.51,112
306,Falling Down,1993,7.6,56.0,165032,40.9,113
307,Boyz n the Hood,1991,7.7,76.0,120507,57.5,112
308,Lawrence of Arabia,1962,8.3,100.0,259279,44.82,228
309,The Thin Red Line,1998,7.6,78.0,168224,36.4,170
310,The Bourne Supremacy,2004,7.7,73.0,424820,176.24,108
311,Big Hero 6,2014,7.8,74.0,398056,222.53,102
312,Little Miss Sunshine,2006,7.8,80.0,429127,59.89,101
313,Being John Malkovich,1999,7.7,90.0,301692,22.86,113
314,The Last Samurai,2003,7.7,55.0,389252,111.11,154
315,Aladdin,1992,8.0,86.0,360900,217.35,90
316,Kill Bill: Vol. 2,2004,8.0,83.0,663478,66.21,137
317,Vertigo,1958,8.3,100.0,348488,3.2,128
318,Despicable Me,2010,7.6,72.0,488538,251.51,95
319,The Sting,1973,8.3,83.0,234546,159.6,129
320,Big Fish,2003,8.0,58.0,406004,66.26,125
321,"Monsters, Inc.",2001,8.0,79.0,789691,289.92,92
322,Amélie,2001,8.3,69.0,686666,33.23,122
323,Slumdog Millionaire,2008,8.0,84.0,782613,141.32,120
324,The Graduate,1967,8.0,83.0,248444,104.95,106
325,The Untouchables,1987,7.9,79.0,270827,76.27,119
326,L.A. Confidential,1997,8.2,90.0,518347,64.62,138
327,Philadelphia,1993,7.7,66.0,218136,77.32,125
328,Deliverance,1972,7.7,80.0,96006,7.06,109
329,Platoon,1986,8.1,92.0,370903,138.53,120
330,Monty Python and the Holy Grail,1975,8.2,93.0,488438,1.23,91
331,WALL·E,2008,8.4,95.0,967823,223.81,98
332,Shaun of the Dead,2004,7.9,76.0,499193,13.54,99
333,Manchester by the Sea,2016,7.8,96.0,235984,47.7,137
334,Chinatown,1974,8.2,92.0,284138,29.2,130
335,The Little Mermaid,1989,7.6,88.0,229904,111.54,83
336,Kick-Ass,2010,7.6,66.0,515757,48.07,117
337,Saw,2004,7.6,46.0,369795,56.0,103
338,Citizen Kane,1941,8.3,100.0,386209,1.59,119
339,Serenity,2005,7.8,74.0,278692,25.51,119
340,The Fault in Our Stars,2014,7.7,69.0,334167,124.87,126
341,Moonrise Kingdom,2012,7.8,84.0,309257,45.51,94
342,The Pursuit of Happyness,2006,8.0,64.0,433648,163.57,117
343,Seven Samurai,1954,8.6,98.0,305068,0.27,207
344,Blue Velvet,1986,7.8,76.0,174812,8.55,120
345,"Lock, Stock and Two Smoking Barrels",1998,8.2,66.0,520973,3.9,107
346,"O Brother, Where Art Thou?",2000,7.7,69.0,277106,45.51,107
347,3 Idiots,2009,8.4,67.0,327988,6.53,170
348,Guess Who's Coming to Dinner,1967,7.8,63.0,37982,56.7,108
349,The Warriors,1979,7.6,65.0,90971,22.49,92
350,Groundhog Day,1993,8.0,72.0,566180,70.91,101
351,American Gangster,2007,7.8,76.0,381803,130.16,157
352,Gifted,2017,7.6,60.0,94454,24.8,101
353,Amadeus,1984,8.3,88.0,358477,51.97,160
354,Ponyo,2008,7.7,86.0,118372,15.09,101
355,The Machinist,2004,7.7,61.0,348630,1.08,101
356,My Cousin Vinny,1992,7.6,68.0,102804,52.93,120
357,Coraline,2009,7.7,80.0,189231,75.29,100
358,Star Trek Into Darkness,2013,7.7,72.0,457079,228.78,132
359,Rear Window,1954,8.4,100.0,428598,36.76,112
360,127 Hours,2010,7.6,82.0,340361,18.34,94
361,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,97.0,437991,0.28,95
362,Who Framed Roger Rabbit,1988,7.7,83.0,177317,156.45,104
363,First Blood,1982,7.7,61.0,219706,47.21,93
364,The Hunt for Red October,1990,7.6,58.0,173609,122.01,135
365,The Lives of Others,2006,8.4,89.0,346738,11.29,137
366,King Kong,1933,7.9,90.0,77065,10.0,100
367,The Butterfly Effect,2004,7.6,30.0,441916,57.94,113
368,Nausicaä of the Valley of the Wind,1984,8.1,86.0,142790,0.5,117
369,Office Space,1999,7.7,68.0,236398,10.82,89
370,End of Watch,2012,7.6,68.0,223003,41.0,109
371,Fear and Loathing in Las Vegas,1998,7.6,41.0,253226,10.68,118
372,The Farewell,2019,7.6,89.0,42152,16.88,100
373,Toy Story 3,2010,8.3,92.0,734868,415.0,103
374,The Theory of Everything,2014,7.7,72.0,387321,35.89,123
375,Rain Man,1988,8.0,65.0,462280,178.8,133
376,How to Train Your Dragon,2010,8.1,75.0,647211,217.58,98
377,Edward Scissorhands,1990,7.9,74.0,434854,56.36,105
378,Glory,1989,7.8,78.0,117958,26.83,122
379,Wreck-It Ralph,2012,7.7,72.0,369022,189.42,101
380,The Hurt Locker,2008,7.6,95.0,411896,17.02,131
381,Gravity,2013,7.7,96.0,751240,274.09,91
