,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
934,Raise the Red Lantern,1991,8.1,,28328,2.6,125
935,"4 Months, 3 Weeks and 2 Days",2007,7.9,97.0,55126,1.19,113
936,Elite Squad 2: The Enemy Within,2010,8.0,71.0,77837,0.1,115
937,Chak de! India,2007,8.2,68.0,71323,1.11,153
938,Au Revoir les Enfants,1987,8.0,,30195,4.54,104
939,The Virgin Spring,1960,8.1,,25626,1.53,89
940,Cell 211,2009,7.6,,62558,,113
941,Fearless,2006,7.6,70.0,71790,24.63,104
942,Jules and Jim,1962,7.8,97.0,36243,,105
943,Miracle on 34th Street,1947,7.9,88.0,38890,2.65,96
944,Vivre Sa Vie,1962,8.0,,26251,,85
945,Ace in the Hole,1951,8.1,72.0,30105,3.97,111
946,Duck Soup,1933,7.8,93.0,54445,,69
947,Il Postino,1994,7.7,81.0,32569,21.85,108
948,Udta Punjab,2016,7.8,,25733,,148
949,Battleship Potemkin,1925,8.0,,51398,0.05,66
950,Veer-Zaara,2004,7.8,67.0,47483,2.92,192
951,The Lost Weekend,1945,7.9,,32516,9.46,101
952,The Chorus,2004,7.9,56.0,55830,3.64,97
953,The Past,2013,7.8,85.0,43800,1.33,130
954,The Visitor,2007,7.6,79.0,41031,9.42,104
955,Tokyo Godfathers,2003,7.8,73.0,29364,0.13,92
956,Lifeboat,1944,7.6,78.0,25649,,97
957,No Man's Land,2001,7.9,84.0,43756,1.06,98
958,Evil,2003,7.8,61.0,34934,0.02,113
959,Joint Security Area,2000,7.8,58.0,25326,,110
960,The Killer,1989,7.8,82.0,44753,,111
961,Adam's Apples,2005,7.8,51.0,44202,0.0,94
962,Vicky Donor,2012,7.8,,38321,0.17,126
963,Nine Queens,2000,7.9,80.0,48435,1.22,114
964,Central Station,1998,8.0,80.0,35059,5.6,110
965,Jab We Met,2007,7.9,,45836,0.41,138
966,Black,2005,8.2,,32622,0.73,122
967,G.O.R.A.,2004,8.0,,54673,,127
968,Kind Hearts and Coronets,1949,8.0,,33555,,106
969,Fireworks,1997,7.8,,26718,0.23,103
970,Vampire Hunter D: Bloodlust,2000,7.7,62.0,28336,0.15,103
971,Sherlock Jr.,1924,8.2,,38894,0.98,45
972,Love and Death,1975,7.7,89.0,34957,,85
973,Tae Guk Gi: The Brotherhood of War,2004,8.1,64.0,37161,1.11,140
974,Hiroshima Mon Amour,1959,7.9,,27104,0.09,90
975,Sanjuro,1962,8.1,,30895,,96
976,The Triplets of Belleville,2003,7.8,91.0,49735,7.0,80
977,OMG: Oh My God!,2012,8.1,,48968,0.92,125
978,The Secret of Kells,2009,7.6,81.0,30186,0.69,75
979,C.R.A.Z.Y.,2005,7.9,81.0,31080,,127
980,Zelig,1983,7.7,,38941,11.8,79
981,White Heat,1949,8.1,,28674,,114
982,Joyeux Noel,2005,7.7,70.0,27006,1.05,116
983,Drishyam,2013,8.4,,29347,,160
984,La Grande Illusion,1937,8.1,,32992,0.17,113
985,The Rules of the Game,1939,8.0,,25863,,110
986,Tangerines,2013,8.2,73.0,37013,0.14,87
987,The Shop Around the Corner,1940,8.1,96.0,26490,0.2,99
988,Knockin' on Heaven's Door,1997,8.0,,26799,0.0,87
989,Boy A,2007,7.6,75.0,36324,0.11,102
990,The Edge of Heaven,2007,7.8,85.0,30135,0.74,122
991,Andaz Apna Apna,1994,8.2,,47899,,160
992,The Muppet Christmas Carol,1992,7.7,64.0,46160,27.28,85
993,English Vinglish,2012,7.8,,32403,1.67,134
994,A Night at the Opera,1935,7.9,,29805,,96
995,"Carry On, Munna Bhai",2006,8.1,,41455,2.22,144
996,Le Dîner de Cons,1998,7.7,73.0,36386,4.07,80
997,And Now for Something Completely Different,1971,7.6,,28293,,88
998,The Breath,2009,8.0,,31047,,128
999,Vizontele,2001,8.0,,31986,,110
